,id,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,preview_url
0,0J1YRLYhTG1MBosjidD7OI,RNB,0.753,0.669,7,-4.914,0,0.104,0.0378,0.0,0.122,0.584,140.948,247469,4,https://p.scdn.co/mp3-preview/5c4da4a4cf896268e243f545f81575986c9d2948?cid=b1b7bb35faa34eac9690da4b561aa86f
1,5YABYtKx9qa56vBjlXDbmw,RNB,0.462,0.331,9,-8.794,0,0.0432,0.911,0.0,0.15,0.604,141.364,190465,3,https://p.scdn.co/mp3-preview/2f92d0abdbb28a163bae87d2bac2375adc759322?cid=b1b7bb35faa34eac9690da4b561aa86f
2,5aIVCx5tnk0ntmdiinnYvw,RNB,0.673,0.722,3,-3.495,0,0.0755,0.0856,0.0,0.137,0.519,117.187,200256,4,https://p.scdn.co/mp3-preview/92479d43666b31ca72b7e2a4fad74568f98ee41e?cid=b1b7bb35faa34eac9690da4b561aa86f
3,1iBWjQ9af9NnUd5xnQDB3k,RNB,0.768,0.663,4,-6.901,0,0.0355,0.581,0.0,0.0974,0.559,96.039,204750,4,
4,3xKsf9qdS1CyvXSMEid6g8,RNB,0.545,0.545,9,-7.362,1,0.107,0.667,5.48e-05,0.417,0.549,159.94,184516,3,https://p.scdn.co/mp3-preview/0e3ca894e19c37cbbbd511d9eb682d8bee030126?cid=b1b7bb35faa34eac9690da4b561aa86f
5,3RaCGXCiiMufRPoexXxGkV,RNB,0.483,0.408,5,-9.243,0,0.0502,0.508,0.0,0.259,0.105,88.88,310491,3,
6,4iZ4pt7kvcaH6Yo8UoZ4s2,RNB,0.559,0.551,5,-7.231,1,0.132,0.141,0.0,0.11,0.392,143.008,201800,4,https://p.scdn.co/mp3-preview/8c53920b5fd2c3178afa36cac9eec68b5ee9204a?cid=b1b7bb35faa34eac9690da4b561aa86f
7,13ks10TjWmDaVL4iO8R5dV,RNB,0.837,0.383,9,-10.527,0,0.164,0.563,0.289,0.087,0.5,118.015,178983,4,https://p.scdn.co/mp3-preview/8085606ec8336d41340e370e3715fe3a9b91968f?cid=b1b7bb35faa34eac9690da4b561aa86f
8,2dHHgzDwk4BJdRwy9uXhTO,RNB,0.715,0.62,1,-6.005,0,0.0484,0.417,0.0,0.0822,0.172,97.95,221520,4,
9,7eQpbVg3tjHmtdOlAHxaTr,RNB,0.66,0.688,7,-6.34,1,0.0564,0.434,0.0,0.489,0.65,118.05,249407,4,https://p.scdn.co/mp3-preview/17d1055c1a8d2c2a7057c77dc503e85fd4ba3e33?cid=b1b7bb35faa34eac9690da4b561aa86f
10,3EaJDYHA0KnX88JvDhL9oa,RNB,0.603,0.784,6,-4.023,1,0.062,0.446,8.32e-06,0.119,0.769,172.041,173104,4,https://p.scdn.co/mp3-preview/90b3855fd50a4c4878a2d5117ebe73f658a97285?cid=b1b7bb35faa34eac9690da4b561aa86f
11,736PP5LTtREkDgktNmX3Gu,RNB,0.501,0.445,7,-9.117,1,0.0369,0.614,0.0373,0.194,0.0549,106.627,174513,5,
12,1zi7xx7UVEFkmKfv06H8x0,RNB,0.792,0.625,1,-5.609,1,0.0536,0.00776,0.0018,0.329,0.37,103.967,173987,4,
13,1Qrg8KqiBpW07V7PNxwwwL,RNB,0.644,0.735,8,-5.747,1,0.0391,0.0521,0.144,0.161,0.418,88.98,153947,4,https://p.scdn.co/mp3-preview/4bd2dc84016f3743add7eea8b988407b1b900672?cid=b1b7bb35faa34eac9690da4b561aa86f
14,4VY32hdU4byJ6cpEBAXRul,RNB,0.729,0.513,6,-7.507,1,0.0554,0.125,0.0,0.112,0.775,97.254,199924,4,https://p.scdn.co/mp3-preview/83e97822db0d0114809e9b830d20c01818f91cde?cid=b1b7bb35faa34eac9690da4b561aa86f
15,0JXXNGljqupsJaZsgSbMZV,RNB,0.684,0.607,11,-8.127,0,0.1,0.0267,0.000307,0.191,0.498,81.001,195373,4,https://p.scdn.co/mp3-preview/d337faa4bb71c8ac9a13998be64fbb0d7d8b8463?cid=b1b7bb35faa34eac9690da4b561aa86f
16,5fEB6ZmVkg63GZg9qO86jh,RNB,0.595,0.678,9,-5.18,1,0.0335,0.0199,0.00389,0.418,0.259,117.067,99213,4,https://p.scdn.co/mp3-preview/89f708c823dc7d3827d2f063b9075b51ec47f446?cid=b1b7bb35faa34eac9690da4b561aa86f
17,1Sr7G1nLlnAFZ8AKT7PuGo,RNB,0.52,0.549,5,-8.17,0,0.224,0.77,0.00012,0.102,0.396,142.056,194910,4,https://p.scdn.co/mp3-preview/9c0a06431f0fe6f2eb9e000ad88010b632d8ad9f?cid=b1b7bb35faa34eac9690da4b561aa86f
18,0mL82sxCRjrs3br407IdJh,RNB,0.702,0.586,9,-7.83,0,0.0313,0.0388,7.27e-05,0.156,0.608,134.951,199111,4,
19,3FImu2LpSuH6gDHBuFgIbS,RNB,0.367,0.142,6,-12.717,0,0.0319,0.913,0.00367,0.107,0.1,69.827,189463,4,
20,5IgjP7X4th6nMNDh4akUHb,RNB,0.733,0.69,9,-5.529,0,0.0427,0.0635,1.18e-06,0.105,0.31,116.992,184613,4,https://p.scdn.co/mp3-preview/52295df71df20e33e1510e3983975cd59f6664a4?cid=b1b7bb35faa34eac9690da4b561aa86f
21,5mCPDVBb16L4XQwDdbRUpz,RNB,0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,298941,4,
22,7DfFc7a6Rwfi3YQMRbDMau,RNB,0.721,0.339,0,-11.195,1,0.0532,0.409,0.00153,0.0973,0.2,129.83,200747,4,
23,1RMJOxR6GRPsBHL8qeC2ux,RNB,0.524,0.364,7,-10.209,1,0.0367,0.808,0.0,0.1,0.436,75.24,209831,4,https://p.scdn.co/mp3-preview/c3c8ed8ba1546630a13ffb139b405800c121e10d?cid=b1b7bb35faa34eac9690da4b561aa86f
24,59nOXPmaKlBfGMDeOVGrIK,RNB,0.463,0.642,1,-4.474,1,0.34,0.314,0.0,0.0686,0.339,83.389,189893,4,https://p.scdn.co/mp3-preview/38e12dbcba624463f1a360afd5dcceaf281b1ea5?cid=b1b7bb35faa34eac9690da4b561aa86f
25,26b3oVLrRUaaybJulow9kz,RNB,0.573,0.422,10,-7.621,0,0.0678,0.551,1.31e-05,0.102,0.693,124.357,184791,5,https://p.scdn.co/mp3-preview/abcbc9adf10ae4901b40b80a30dc194d589c2d62?cid=b1b7bb35faa34eac9690da4b561aa86f
26,2Ch7LmS7r2Gy2kc64wv3Bz,RNB,0.582,0.525,1,-7.163,0,0.0627,0.111,0.0,0.134,0.51,133.249,260253,4,
27,3GZD6HmiNUhxXYf8Gch723,RNB,0.913,0.603,8,-4.892,1,0.226,0.0272,0.000503,0.167,0.497,123.061,234093,4,
28,2fXwCWkh6YG5zU1IyvQrbs,RNB,0.692,0.684,6,-7.364,1,0.155,0.131,0.0,0.156,0.406,112.912,231253,4,https://p.scdn.co/mp3-preview/31432e1f5ec59bd56c4dd83a5b6e5b468d4fbc2c?cid=b1b7bb35faa34eac9690da4b561aa86f
29,3XgGQ1wjo5khvq2UImjyNF,RNB,0.617,0.378,9,-8.54,1,0.0315,0.428,9.16e-05,0.11,0.22,141.967,216063,4,https://p.scdn.co/mp3-preview/8026f6eb83e79234f3387484a913b450082e45f5?cid=b1b7bb35faa34eac9690da4b561aa86f
30,3DarAbFujv6eYNliUTyqtz,RNB,0.764,0.705,8,-3.463,1,0.0284,0.259,8.92e-05,0.12,0.781,110.97,208667,4,https://p.scdn.co/mp3-preview/2903cc27c1a5bd03f247a7f83ace394c36d3c75f?cid=b1b7bb35faa34eac9690da4b561aa86f
31,2ZL7WZcjuYKi1KUDtp4kCC,RNB,0.773,0.701,7,-6.386,1,0.0512,0.01,0.0,0.163,0.203,129.963,214589,4,
32,3FAJ6O0NOHQV8Mc5Ri6ENp,RNB,0.449,0.465,0,-8.964,1,0.0791,0.524,1.02e-06,0.303,0.543,89.087,198371,3,https://p.scdn.co/mp3-preview/12200deba2a2f8126ff4430d35fec1be2969e87f?cid=b1b7bb35faa34eac9690da4b561aa86f
33,7zFXmv6vqI4qOt4yGf3jYZ,RNB,0.658,0.294,4,-8.533,0,0.0321,0.422,5.2e-05,0.0749,0.358,74.038,278180,4,https://p.scdn.co/mp3-preview/50f8ebebe7de796d2519b203077d119e66a90ea3?cid=b1b7bb35faa34eac9690da4b561aa86f
34,2Xr1dTzJee307rmrkt8c0g,RNB,0.727,0.739,8,-3.805,1,0.0411,0.365,0.00137,0.161,0.533,93.005,145800,4,https://p.scdn.co/mp3-preview/66fcd4a3341836530e964de7f24d9198610f537b?cid=b1b7bb35faa34eac9690da4b561aa86f
35,6oEVnWKgPqIEPc53OYDNqG,RNB,0.45,0.352,1,-11.733,0,0.267,0.649,3.8e-06,0.249,0.408,102.679,252747,4,https://p.scdn.co/mp3-preview/3ea3f13a61edf4fe0ab2fee73669a14dd3d257d7?cid=b1b7bb35faa34eac9690da4b561aa86f
36,2IlT65thKQQw248mhk2PjQ,RNB,0.726,0.353,10,-10.273,1,0.105,0.65,0.002,0.224,0.503,137.66,169014,4,https://p.scdn.co/mp3-preview/d879cb65ed6d0c36f66e87b7c7658ab86da20777?cid=b1b7bb35faa34eac9690da4b561aa86f
37,0k4d5YPDr1r7FX77VdqWez,RNB,0.828,0.621,8,-6.414,1,0.0565,0.0164,0.00233,0.0845,0.436,128.986,186173,4,https://p.scdn.co/mp3-preview/6f9e50e5f716c7e2441d4e0262304656c5b108fa?cid=b1b7bb35faa34eac9690da4b561aa86f
38,3YJJjQPAbDT7mGpX3WtQ9A,RNB,0.436,0.655,1,-8.37,0,0.0583,0.499,8.1e-06,0.688,0.412,121.002,279204,4,https://p.scdn.co/mp3-preview/ddda59aa9a028820fc0fb6ff05ae463924843191?cid=b1b7bb35faa34eac9690da4b561aa86f
39,2SLwbpExuoBDZBpjfefCtV,RNB,0.65,0.76,0,-4.422,0,0.0446,0.255,0.0,0.339,0.838,93.057,214194,4,
40,6XHVuErjQ4XNm6nDPVCxVX,RNB,0.696,0.454,1,-6.756,0,0.153,0.123,0.0,0.155,0.136,92.928,260640,4,https://p.scdn.co/mp3-preview/1b5fe75b6bfa48ebacdfe0ee11e8c548ee96e2f3?cid=b1b7bb35faa34eac9690da4b561aa86f
41,6ZRuF2n1CQxyxxAAWsKJOy,RNB,0.61,0.725,8,-5.131,1,0.15,0.367,0.0,0.154,0.291,146.163,201788,4,https://p.scdn.co/mp3-preview/603131313ab97576652b9c0769b2a68296d283ad?cid=b1b7bb35faa34eac9690da4b561aa86f
42,5YbPxJwPfrj7uswNwoF1pJ,RNB,0.795,0.565,3,-4.457,0,0.0948,0.131,0.0,0.0802,0.55,87.925,172342,4,https://p.scdn.co/mp3-preview/2424ab80f615e8dab8667ce4a30bbba09701d647?cid=b1b7bb35faa34eac9690da4b561aa86f
43,3JEJwjqLkg2Jbau5922CAb,RNB,0.542,0.487,1,-9.53,1,0.0286,0.0544,0.000885,0.0872,0.119,111.307,216631,4,https://p.scdn.co/mp3-preview/aaf4660ba22a6ebeb742bd1424e1c3689c4dc318?cid=b1b7bb35faa34eac9690da4b561aa86f
44,37Nqx7iavZpotJSDXZWbJ3,RNB,0.767,0.438,7,-8.726,0,0.29,0.181,0.0,0.142,0.381,86.975,221980,4,
45,09gysnJpfQ3ublBmJDfcEC,RNB,0.87,0.523,1,-8.052,0,0.0602,0.433,2.07e-05,0.113,0.319,110.02,204764,4,
46,2WigMwGJysIh9fRnSJvpjn,RNB,0.649,0.655,10,-5.534,0,0.0652,0.307,0.0,0.22,0.793,92.9,147581,4,https://p.scdn.co/mp3-preview/9d463921c49dde620ceb8e21c4b48346b9ae7be0?cid=b1b7bb35faa34eac9690da4b561aa86f
47,3EG9FJ0ToLfgnc1IG2Z1wz,RNB,0.468,0.652,0,-4.912,1,0.0722,0.333,0.000318,0.55,0.39,140.223,588139,4,https://p.scdn.co/mp3-preview/d82ed534bd9772e180cd03bd5636de771ac2cf75?cid=b1b7bb35faa34eac9690da4b561aa86f
48,08SB2OtZkaliju77WYEKxk,RNB,0.707,0.618,1,-5.825,0,0.19,0.17,0.0,0.293,0.517,133.876,231498,4,
49,3xVZYkcuWalGudeKl861wb,RNB,0.627,0.618,2,-8.529,1,0.0437,0.0558,0.0,0.351,0.848,82.03,197443,4,https://p.scdn.co/mp3-preview/03985ea0f5b53660c352773875ba5159533fe692?cid=b1b7bb35faa34eac9690da4b561aa86f
50,3baPniPXS0iEII8rDUJdYP,RNB,0.828,0.726,10,-6.389,0,0.0419,0.106,0.00101,0.103,0.67,113.017,212976,4,https://p.scdn.co/mp3-preview/d406891c4b9bc737b4865b234ddb05bffe56ead5?cid=b1b7bb35faa34eac9690da4b561aa86f
51,22I3h5AOENlH4CqXJsEbFR,RNB,0.418,0.31,11,-9.869,0,0.0625,0.095,0.0,0.216,0.131,139.614,260170,4,https://p.scdn.co/mp3-preview/99c21682a87628dbaa7331bc47cc743e174d34eb?cid=b1b7bb35faa34eac9690da4b561aa86f
52,2QdSb68BzZGMgCbsrFmSLc,RNB,0.609,0.581,2,-10.854,1,0.277,0.509,0.0,0.283,0.528,102.964,196204,3,https://p.scdn.co/mp3-preview/31f167f8a97fa38bb37ebf1c3ad1b4747250e466?cid=b1b7bb35faa34eac9690da4b561aa86f
53,3ncmoWTwJgx63LwMTyBCXf,RNB,0.52,0.546,8,-4.991,0,0.213,0.579,0.0,0.112,0.634,137.419,204317,3,
54,35ovElsgyAtQwYPYnZJECg,RNB,0.247,0.299,9,-6.083,1,0.0315,0.899,0.0,0.131,0.172,177.115,196520,4,
55,6zWU7YALeEDMcPGhKKZJhV,RNB,0.567,0.593,6,-7.404,0,0.288,0.117,1.32e-06,0.248,0.358,88.545,194157,4,https://p.scdn.co/mp3-preview/48a496df1ffceedb530b8744587b2369eb9a963d?cid=b1b7bb35faa34eac9690da4b561aa86f
56,3nXrCAE44KlevAkQB2XWcN,RNB,0.514,0.506,10,-7.095,0,0.28,0.402,2.56e-05,0.191,0.312,88.044,166998,4,
57,4at3d5QWnlibMVN75ECDrp,RNB,0.61,0.458,9,-11.336,1,0.36,0.696,0.000103,0.0852,0.246,192.099,240342,4,
58,6TSO4hwz9WGrEUY7ABGVim,RNB,0.428,0.443,2,-8.955,0,0.101,0.525,1.76e-05,0.219,0.2,87.934,180954,4,https://p.scdn.co/mp3-preview/cb8b6b837f15b8ed8b6ae65af2d95bdf15375516?cid=b1b7bb35faa34eac9690da4b561aa86f
59,1o8Z7GD1CeOaVBEyuzu4HO,RNB,0.481,0.539,4,-7.865,0,0.108,0.551,0.00539,0.12,0.621,153.277,186678,4,https://p.scdn.co/mp3-preview/ca58edf96434fe902d4ac82f91c578d9d8eccba5?cid=b1b7bb35faa34eac9690da4b561aa86f
60,1dIWPXMX4kRHj6Dt2DStUQ,RNB,0.571,0.767,2,-5.16,1,0.287,0.336,0.0,0.0809,0.605,93.421,161684,4,https://p.scdn.co/mp3-preview/b2703420fba6afe289e6f1d03d1c2bfb1f6ffdc3?cid=b1b7bb35faa34eac9690da4b561aa86f
61,2SWbnWSe1onmbllRAU46uo,RNB,0.768,0.428,1,-8.156,0,0.0459,0.0489,0.000491,0.105,0.147,110.478,174307,4,https://p.scdn.co/mp3-preview/36f6de8f29c91c4c2a21031d5ca13ec8c42c5e73?cid=b1b7bb35faa34eac9690da4b561aa86f
62,6VFKuuqSbA1GpMEosUgTwQ,RNB,0.637,0.299,7,-11.314,1,0.0366,0.742,0.0,0.359,0.364,83.872,213214,4,https://p.scdn.co/mp3-preview/64b2f592edfdd9c5543efd15015d7752489a2b8d?cid=b1b7bb35faa34eac9690da4b561aa86f
63,0AoBY2Y3qs6dtGgOD6c91N,RNB,0.6,0.659,4,-7.264,0,0.0542,0.176,0.0,0.111,0.307,89.955,221747,4,
64,4lsHZ92XCFOQfzJFBTluk8,RNB,0.762,0.433,5,-8.937,1,0.187,0.143,0.0,0.118,0.394,122.074,203145,4,https://p.scdn.co/mp3-preview/be377343d69a15bb5332e5d32ba203dab3550afa?cid=b1b7bb35faa34eac9690da4b561aa86f
65,5JycxhApZmzbA4xSwvqh6k,RNB,0.523,0.543,5,-8.39,0,0.156,0.65,0.0,0.257,0.318,116.161,127807,3,https://p.scdn.co/mp3-preview/acc37cdbaf00bef7427508300154b721d5da7ff7?cid=b1b7bb35faa34eac9690da4b561aa86f
66,0dFdGPVLs3k0z9ezYWZzUa,RNB,0.738,0.75,11,-3.654,0,0.219,0.0167,0.00976,0.174,0.342,112.009,207840,4,https://p.scdn.co/mp3-preview/f8a126e1c8c8b741ecfa53e0bb9f6ea7b2fb7e0b?cid=b1b7bb35faa34eac9690da4b561aa86f
67,0GGfGINoVYiSFXPOjg3RHj,RNB,0.821,0.412,7,-7.795,1,0.0341,0.625,1.64e-05,0.0985,0.333,109.977,209454,4,https://p.scdn.co/mp3-preview/e8d3b78962643a2908d8da7fe694583bc7334910?cid=b1b7bb35faa34eac9690da4b561aa86f
68,6U0FIYXCQ3TGrk4tFpLrEA,RNB,0.453,0.538,1,-8.212,1,0.0638,0.449,0.0,0.19,0.516,122.973,204533,4,https://p.scdn.co/mp3-preview/ef4f27cb1fb8f10ffe933fc772a936f32de95181?cid=b1b7bb35faa34eac9690da4b561aa86f
69,63wx9vdskaXbYxyDx4oJCZ,RNB,0.617,0.525,8,-10.426,0,0.12,0.554,1.1e-06,0.135,0.377,135.781,212867,4,
70,3TTMUI5dFcbeNSDTTDY9M8,RNB,0.679,0.728,5,-3.092,0,0.154,0.159,0.0,0.107,0.46,152.001,181013,4,
71,4slSrbTK1sNK4I1mDYEthf,RNB,0.613,0.624,11,-6.66,0,0.206,0.496,0.0,0.283,0.803,62.948,167917,5,https://p.scdn.co/mp3-preview/13ac0a850a436c3f10fdf2b765582b65667d916d?cid=b1b7bb35faa34eac9690da4b561aa86f
72,5VlTQnZO89Ioku8ssdbqJk,RNB,0.505,0.267,9,-13.763,0,0.05,0.279,0.0,0.096,0.439,143.929,247080,4,https://p.scdn.co/mp3-preview/ea77901675538cc8ddfe6b86b7b3b966922015fe?cid=b1b7bb35faa34eac9690da4b561aa86f
73,6jGAh1bFnXt1Muj9zeHveZ,RNB,0.651,0.703,0,-8.958,0,0.0816,0.0297,0.0,0.0608,0.647,140.051,249444,4,https://p.scdn.co/mp3-preview/3e85cec2c59de46689a7ca0839342d97d3aef008?cid=b1b7bb35faa34eac9690da4b561aa86f
74,5SixeLvPsYpk7qq9lo5xYg,RNB,0.903,0.535,9,-6.434,1,0.0742,0.297,0.0,0.345,0.508,130.022,148779,4,https://p.scdn.co/mp3-preview/e55fa7861f6fe15e8c614b905884ddc28b08cfc7?cid=b1b7bb35faa34eac9690da4b561aa86f
75,6ufcuVInt0ocHrUimDjGlb,RNB,0.618,0.712,1,-8.246,1,0.114,0.14,4.53e-06,0.575,0.305,97.057,254319,4,https://p.scdn.co/mp3-preview/8e2725101e48c5c3c9b9a79280e8cfe337783b99?cid=b1b7bb35faa34eac9690da4b561aa86f
76,2vXgyN14LX2zl7JEASw242,RNB,0.74,0.576,6,-6.744,0,0.146,0.0249,0.0,0.104,0.315,110.095,209476,4,https://p.scdn.co/mp3-preview/c5e18cad6d67269a66c7177106d7aab45a4e203d?cid=b1b7bb35faa34eac9690da4b561aa86f
77,6WHZvtFnceMMv08gUCHR0y,RNB,0.431,0.7,6,-5.35,1,0.265,0.0901,0.0,0.216,0.73,157.871,183219,4,https://p.scdn.co/mp3-preview/f7e39ba243ac170391ca580f52044550e2daf8aa?cid=b1b7bb35faa34eac9690da4b561aa86f
78,1cFKKdG6gmpptMBFxasJOE,RNB,0.795,0.341,7,-7.869,0,0.166,0.59,6.53e-05,0.12,0.313,119.872,208040,4,https://p.scdn.co/mp3-preview/b523c55a35512627930edbad907978a3d4abd96c?cid=b1b7bb35faa34eac9690da4b561aa86f
79,0uDdI4fAXCuNhQbmxENdsO,RNB,0.574,0.791,1,-3.752,1,0.11,0.419,0.0,0.0982,0.612,119.537,167810,4,https://p.scdn.co/mp3-preview/17513a41460ad15174ba2d1a6ac595ede90ab045?cid=b1b7bb35faa34eac9690da4b561aa86f
80,3vySEUpD0tc801F2WZDLYw,RNB,0.799,0.653,2,-5.453,0,0.037,0.019,0.0,0.0935,0.236,104.019,215281,4,https://p.scdn.co/mp3-preview/6eb13720d4923ee4c124a427c3ae8754e48f96f9?cid=b1b7bb35faa34eac9690da4b561aa86f
81,1De7cOMrdUnVpjWBaowMg4,RNB,0.726,0.728,11,-5.775,0,0.0408,0.239,0.0,0.177,0.566,115.047,225502,4,
82,61Emqg95O9zo1GNOcyxq4Y,RNB,0.442,0.517,9,-7.807,1,0.0548,0.0699,0.0,0.114,0.2,79.867,193822,4,https://p.scdn.co/mp3-preview/4e6dbeddcccf59e02bd6f601bfc34e26b0290ce3?cid=b1b7bb35faa34eac9690da4b561aa86f
83,51mLQ3w7yR7vjdSTFLWaY5,RNB,0.545,0.749,4,-6.621,0,0.153,0.103,0.0,0.232,0.681,100.503,196147,4,https://p.scdn.co/mp3-preview/37ec4d4b8008d79a3fec85d3bf6bc13ce5171356?cid=b1b7bb35faa34eac9690da4b561aa86f
84,4L4m2mgZDF8KIkJPdWWIAf,RNB,0.789,0.839,8,-4.24,1,0.0589,0.0321,0.00476,0.108,0.656,98.021,159372,4,https://p.scdn.co/mp3-preview/cba2433e80a8ba717ffbd2d08e0bb200002b17f3?cid=b1b7bb35faa34eac9690da4b561aa86f
85,0tkgmjBMU6qSxolAKB3f2H,RNB,0.547,0.619,3,-6.485,0,0.132,0.0951,2.62e-06,0.0716,0.519,76.285,233070,4,https://p.scdn.co/mp3-preview/a607fe82299d01dbbb5049a6db136c0aad105dd8?cid=b1b7bb35faa34eac9690da4b561aa86f
86,2KdKh9vHbKW0tZLqtpxxI0,RNB,0.81,0.655,8,-6.779,0,0.0698,0.127,8.16e-05,0.105,0.809,150.002,193322,4,
87,1REVvAphiSTJyKQ1fDpHa4,RNB,0.567,0.824,3,-6.973,0,0.296,0.167,2.65e-06,0.149,0.737,138.202,329295,4,
